R_kpc,vc_total_km_s,vc_baryonic_km_s,vc_halo_km_s,vc_kepler_baryonic_km_s
28.25,206.91846118827172,104.19619558683993,178.76913157967545,105.4223634505126
28.5,206.74203036231899,103.757121055393,178.820376212082,104.95896620302962
28.75,206.56645781469427,103.32340424892581,178.8685987772111,104.50162648414256
29,206.39172297758114,102.89494036629019,178.91387470141095,104.05021346026065
29.25,206.21780615411302,102.47162734867439,178.9562772398044,103.60460022005398
29.5,206.04468847767794,102.05336579249797,178.9958775510932,103.16466362455577
29.75,205.87235187319888,101.64005886542468,179.0327447693165,102.73028416420723
30,205.70077902029078,101.2316122253783,179.06694607270526,102.30134582246843
30.25,205.5299533182042,100.82793394244995,179.09854674977169,101.87773594564155
30.5,205.3598588524661,100.42893442358857,179.12761026276027,101.459345118575
30.75,205.1904803631348,100.03452633997064,179.1541983085848,101.04606704593692
31,205.0218032145893,99.64462455694763,179.17837087736547,100.63779843876533
31.25,204.85381336677676,99.25914606647427,179.20018630867696,100.23443890602046
31.5,204.68649734784577,98.87800992192365,179.21970134561002,99.83589085088006
31.75,204.51984222809784,98.50113717519841,179.236971186747,99.44205937153512
32,204.35383559519,98.128450816051,179.2520495361428,99.05285216625649
32.25,204.18846553052813,97.7598757135293,179.26498865140115,98.66817944251694
32.5,204.02372058679114,97.39533855946593,179.27583938993016,98.28795382996579
32.75,203.8595897665297,97.03476781393438,179.28465125345676,97.91209029706397
33,203.69606250178708,96.67809365259691,179.29147243087618,97.5405060711995
33.25,203.5331286346907,96.32524791587153,179.2963498395086,97.17312056211274
33.5,203.3707783989675,95.97616405985065,179.29932916483148,96.80985528847039
33.75,203.20900240233541,95.6307771089027,179.30045489875295,96.45063380743667
34,203.04779160973004,95.28902360989515,179.29977037648766,96.09538164709801
34.25,202.8871373273238,94.95084158797572,179.2973178120953,95.74402624160547
34.5,202.72703118729905,94.61617050385408,179.29313833273636,95.39649686890695
34.75,202.56746513333786,94.28495121252693,179.28727201170045,95.05272459094763
35,202.4084314067938,93.9571259233923,179.2797579002564,94.71264219622401
35.25,202.24992253351112,93.63263816170067,179.27063405837353,94.37618414458254
35.5,202.0919313112612,93.31143273129321,179.25993758436059,94.04328651416039
35.75,201.93445079776492,92.99345567857867,179.24770464346582,93.71388695037041
36,201.77747429927263,92.67865425770279,179.2339704954806,93.38792461683808
36.25,201.62099535967477,92.36697689686594,179.21876952138643,93.06534014820257
36.5,201.46500775011737,92.05837316574677,179.20213524908394,92.74607560469907
36.75,201.3095054590978,91.7527937439902,179.18410037824034,92.43007442844333
37,201.1544826830171,91.45019039072116,179.16469680428978,92.11728140134336
37.25,200.99993381716828,91.15051591504627,179.14395564162055,91.80764260456756
37.5,200.84585344713722,90.85372414750704,179.12190724598045,91.50110537950141
37.75,200.69223634059898,90.55976991245008,179.09858123613077,91.19761829012866
38,200.53907743948824,90.2686090012809,179.07400651477852,90.89713108677599
38.25,200.38637185252762,89.98019814656908,179.04821128881358,90.59959467116308
38.5,200.23411484809557,89.6944949969746,179.02122308887857,90.30496106270309
